"model_device","brand","model_name","release_year","release_month","release_price","screensize","detail"
"lenovo z90a40","lenovo","vibe shot",2015,"June","300","5","also known as lenovo z90-7, lenovo vibe max"
"lenovo s90-a","lenovo","s90 sisley",2014,"November","260","5","also known as lenovo s90t sisley for china"
"lumia 530 dual sim like",NA,NA,NA,NA,NA,NA,NA
"htc one m8","htc","one (m8) cdma",2014,"March","440","5","also known as htc m8, all new htc one"
"vie-l29","huawei","p9 plus",2016,"May","600","5.5","versions: vie-l09 (single sim); vie-l29 (dual sim)"
"i-mobile i-style 210",NA,NA,NA,NA,NA,NA,NA
"smart 4g 5.0",NA,NA,NA,NA,NA,NA,NA
"lenovo x3a40","lenovo","vibe x3",2015,"December","400","5.5",NA
"zte v815w",NA,NA,NA,NA,NA,NA,NA
"h30-u10","huawei","honor 3c 4g",2014,"June","200","5","also known as huawei honor 3c lte"
"lumia 920 like","nokia","lumia 920",2012,"November","210","4.5",NA
"lg  h818","lg","g4 dual",2015,"May","380","5.5","also known as lg g4 dual-lte, lg g4 dual-sim, lg h818p (indonesia, ukraine, thailand), lg h818n (hong kong)"
"lenovo a7020a48","lenovo","vibe k4 note",2016,"January","190","5.5","also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
"lenovo s60-a","lenovo","s60",2015,"March","280","5","available as lenovo s60-t for china"
"gra-ul00","huawei","p8max",2015,"July","500","6.8",NA
"asus t00n","asus","transformer tf101",2011,"April","280","10.1","tablet with no support for gsm voice communication, sms, and mms."
"i-mobile iq6.3",NA,NA,NA,NA,NA,NA,NA
"e6853","sony","xperia x premium",2015,"Q3",NA,"5.5","unofficial preliminary specifications. product image for illustrative purposes."
"lenovo p70-a","lenovo","p70",2015,"February","240","5",NA
"i-mobile iq z",NA,NA,NA,NA,NA,NA,NA
"r819","oppo","r819",2013,"September","250","4.7",NA
"i-mobile iq6.6",NA,NA,NA,NA,NA,NA,NA
"blade s6 lite",NA,NA,NA,NA,NA,NA,NA
"k019","asus","fonepad 7 fe375cg",2014,"Q3","210","7",NA
"asus z00rd","asus","zenfone 2 laser ze500kg",2015,"October","200","5",NA
"iphone os 6","apple","iphone 6 plus",2014,"September","700","5.5",NA
"nokiax2ds","nokia","x2 dual sim",2014,"July","90","4.3","also known as nokia x2 rm-1013, nokia x2ds"
"zte v830w",NA,NA,NA,NA,NA,NA,NA
"true smart 7.0 quadcore",NA,NA,NA,NA,NA,NA,NA
"nexus 5","lg","nexus 5x",2015,"October","270","5.2",NA
"iris354","lava","3g 354",2014,"May",NA,"3.5",NA
"b1-723",NA,NA,NA,NA,NA,NA,NA
"infinite ii",NA,NA,NA,NA,NA,NA,NA
"lenovo a859","lenovo","a859",2014,"April","140","5",NA
"chc-u23","huawei","honor 4c",2015,"April","170","5","also known as huawei g play mini"
"a1-713",NA,NA,NA,NA,NA,NA,NA
"lenovo a369i","lenovo","a369i",2013,"Q3","70","4",NA
"lenovo a6000","lenovo","a6000 plus",2015,"April","110","5","also known as lenovo a6000+"
"i553",NA,NA,NA,NA,NA,NA,NA
"true beyond 3g",NA,NA,NA,NA,NA,NA,NA
"z500","asus","zenpad 3s 10 z500m",2016,"August",NA,"9.7","this is not a gsm device, it will not work on any gsm network worldwide."
"zte blade d6 lite 4g",NA,NA,NA,NA,NA,NA,NA
"u feel",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 6.9 dtv",NA,NA,NA,NA,NA,NA,NA
"fl02","alcatel","flash plus",2015,"May","130","5.5",NA
"feature phone",NA,NA,NA,NA,NA,NA,NA
"scl-u23","huawei","ascend y600",2014,"June","100","5",NA
"asus t00p","asus","zenfone 5 a500kl",2014,"July","210","5",NA
"d5303","sony","xperia m ultra",2015,"Q3",NA,"6","unofficial preliminary specifications. product image for illustrative purposes."
